aX,aY,aZ,gX,gY,gZ
0.132,0.557,0.767,4.089,-1.343,-0.549
0.134,0.557,0.766,3.784,-0.854,-0.610
0.136,0.559,0.767,2.991,-0.305,-0.549
0.143,0.564,0.766,2.380,0.305,-0.366
0.148,0.569,0.766,2.380,0.366,-0.183
0.152,0.572,0.765,2.991,-0.427,-0.061
0.151,0.570,0.766,3.845,-1.648,0.122
0.146,0.569,0.767,4.700,-2.563,0.122
0.141,0.564,0.767,5.005,-2.808,0.183
0.135,0.562,0.768,4.761,-2.563,0.427
0.135,0.562,0.768,4.028,-1.587,0.427
0.138,0.561,0.768,3.540,-0.854,0.427
0.144,0.562,0.771,3.113,0.000,0.305
0.148,0.566,0.772,2.869,0.366,0.366
0.148,0.568,0.771,3.174,0.000,0.305
0.146,0.566,0.771,3.723,-0.427,0.488
0.144,0.562,0.771,4.028,-0.732,0.610
0.141,0.560,0.770,4.028,-0.610,0.610
0.138,0.560,0.768,4.028,-0.488,0.671
0.139,0.560,0.768,3.845,-0.244,0.732
0.142,0.562,0.767,3.845,-0.244,0.549
0.145,0.563,0.771,3.967,-0.488,0.732
0.144,0.562,0.773,4.150,-1.099,1.099
0.140,0.556,0.772,4.272,-1.709,1.343
0.135,0.555,0.771,3.906,-1.953,1.343
0.134,0.555,0.770,3.479,-1.709,1.221
0.144,0.559,0.765,3.113,-1.343,0.977
0.182,0.597,0.675,2.930,-0.977,0.610
0.022,0.499,0.881,2.991,-0.732,0.427
0.233,0.602,0.708,2.930,0.122,0.488
0.126,0.562,0.745,3.296,-0.549,0.671
0.067,0.510,0.875,3.113,-1.038,0.732
0.237,0.613,0.678,3.052,-1.587,0.427
0.084,0.544,0.774,3.601,-2.258,0.183
0.088,0.522,0.847,3.723,-1.831,-0.305
0.234,0.623,0.656,4.089,-1.587,-0.610
0.056,0.535,0.803,4.150,-1.709,-0.610
0.119,0.540,0.823,3.906,-0.549,-0.427
0.228,0.622,0.654,3.540,-0.305,-0.366
0.041,0.518,0.832,3.540,-0.366,-0.244
0.153,0.558,0.791,3.174,0.366,-0.244
0.216,0.617,0.656,3.296,0.305,-0.488
0.042,0.515,0.854,3.540,0.366,-0.488
0.196,0.582,0.762,3.845,0.732,-0.244
0.186,0.600,0.700,4.700,-0.427,0.000
0.103,0.546,0.809,5.188,-1.221,0.183
0.154,0.564,0.782,5.493,-1.648,0.305
0.155,0.570,0.761,5.615,-2.136,0.366
0.134,0.559,0.777,5.066,-1.831,0.671
0.137,0.560,0.776,4.211,-1.160,0.793
0.143,0.562,0.772,3.540,-0.366,0.916
0.144,0.562,0.776,3.113,0.366,0.977
0.147,0.563,0.776,3.296,0.244,0.916
0.145,0.560,0.777,4.089,-0.671,0.732
0.140,0.556,0.775,4.517,-1.526,0.488
0.134,0.556,0.773,4.456,-1.953,0.183
0.131,0.554,0.771,3.906,-1.648,0.244
0.133,0.553,0.770,3.113,-0.977,0.305
0.139,0.558,0.769,2.197,-0.244,0.305
0.144,0.566,0.768,1.831,-0.122,0.488
0.194,0.596,0.709,2.380,-1.038,0.549
0.090,0.540,0.789,3.723,-2.563,0.610
0.120,0.542,0.825,4.517,-3.174,0.427
0.222,0.621,0.649,5.188,-3.723,0.000
0.023,0.505,0.854,5.371,-3.479,0.061
0.174,0.579,0.752,4.272,-2.014,0.183
0.179,0.605,0.672,3.967,-1.282,0.183
0.033,0.508,0.866,3.967,-0.488,0.122
0.211,0.592,0.726,4.211,0.122,-0.122
0.165,0.584,0.703,4.700,-0.244,-0.061
0.052,0.500,0.880,4.639,-0.061,-0.122
0.239,0.599,0.707,4.089,0.427,0.061
0.134,0.565,0.740,3.845,0.000,0.427
0.066,0.508,0.878,3.235,0.244,0.732
0.241,0.615,0.685,2.747,0.610,0.854
0.097,0.555,0.771,3.174,-0.061,0.854
0.088,0.524,0.864,3.479,0.061,0.671
0.245,0.625,0.672,3.967,-0.488,0.366
0.070,0.538,0.806,4.822,-1.526,0.305
0.112,0.536,0.840,4.883,-1.282,0.488
0.228,0.618,0.663,4.822,-1.282,0.610
0.042,0.512,0.835,4.517,-1.099,0.427
0.141,0.544,0.810,3.601,0.000,0.305
0.216,0.608,0.665,3.113,0.244,0.122
0.037,0.506,0.857,2.625,0.000,0.061
0.180,0.569,0.776,2.258,0.366,-0.183
0.203,0.607,0.677,2.502,-0.366,-0.305
0.040,0.507,0.872,2.869,-0.977,-0.183
0.206,0.591,0.743,2.930,-1.099,-0.061
0.171,0.597,0.695,3.540,-1.709,0.000
0.041,0.505,0.879,3.906,-1.404,0.244
0.226,0.599,0.716,3.723,-0.793,0.244
0.141,0.574,0.728,3.601,-1.099,-0.061
0.100,0.533,0.824,3.235,-0.610,-0.061
0.167,0.571,0.761,2.808,-0.366,0.061
0.156,0.573,0.752,2.869,-0.610,0.122
0.141,0.562,0.771,3.174,-0.793,0.122
0.150,0.565,0.764,3.601,-1.221,0.122
0.145,0.565,0.759,3.784,-1.892,0.183
0.139,0.564,0.760,4.028,-2.014,0.183
0.139,0.564,0.756,4.028,-1.526,0.305
0.137,0.566,0.757,3.601,-0.854,0.366
0.140,0.566,0.757,3.479,0.000,0.488
0.146,0.567,0.760,3.479,0.427,0.854
0.150,0.567,0.762,3.906,0.366,0.916
0.152,0.568,0.763,4.761,-0.305,0.916
0.147,0.567,0.765,5.676,-1.282,0.916
0.143,0.563,0.768,6.226,-2.014,0.916
0.139,0.560,0.770,6.165,-2.136,0.916
0.142,0.559,0.775,5.859,-1.831,0.854
0.143,0.559,0.778,5.188,-1.587,0.977
0.143,0.560,0.780,4.333,-1.587,1.160
0.140,0.560,0.778,3.784,-1.526,1.282
0.137,0.560,0.777,3.479,-1.587,1.282
0.137,0.559,0.777,3.235,-1.343,1.221
0.137,0.560,0.776,2.991,-1.221,0.916
0.140,0.562,0.778,2.991,-0.793,1.038
0.140,0.563,0.775,2.869,-0.854,1.160
0.138,0.563,0.774,2.869,-1.099,1.160
0.137,0.563,0.770,3.235,-1.465,1.099
0.134,0.563,0.766,3.662,-1.831,0.916
0.131,0.560,0.764,4.333,-2.136,0.488
0.129,0.557,0.762,4.578,-2.197,0.366
0.129,0.557,0.760,4.578,-1.770,0.000
0.128,0.559,0.761,4.150,-1.221,0.183
0.132,0.559,0.761,3.662,-0.610,0.488
0.134,0.559,0.761,3.235,-0.305,0.366
0.134,0.560,0.762,3.296,-0.366,0.305
0.134,0.562,0.764,3.540,-0.366,0.183
0.133,0.562,0.762,3.662,-0.671,0.244
0.132,0.563,0.763,4.028,-0.793,0.061
0.135,0.561,0.764,4.333,-0.977,-0.122
0.136,0.562,0.767,4.333,-0.732,-0.122
0.138,0.560,0.770,4.211,-0.549,-0.183
0.139,0.560,0.772,3.784,-0.305,-0.183
0.141,0.563,0.771,3.601,-0.122,-0.122
0.174,0.584,0.743,3.601,-0.061,-0.183
0.153,0.582,0.722,4.211,-0.366,-0.244
0.064,0.509,0.885,4.883,-0.854,-0.183
0.257,0.626,0.672,4.944,-0.977,-0.183
0.073,0.537,0.805,5.188,-1.648,0.000
0.119,0.535,0.839,4.395,-0.854,0.244
0.238,0.622,0.663,3.662,-0.366,0.488
0.056,0.523,0.834,3.418,-0.305,0.427
0.156,0.558,0.808,3.052,0.061,0.427
0.225,0.620,0.661,3.662,-0.732,0.488
0.039,0.512,0.853,4.211,-1.343,0.366
0.176,0.570,0.769,4.395,-1.160,0.183
0.192,0.602,0.667,4.578,-1.404,0.122
0.030,0.497,0.865,4.395,-0.854,0.061
0.202,0.580,0.733,3.662,0.122,0.000
0.170,0.587,0.684,3.540,0.183,0.122
